id,mode,firstReviewDate,lastReviewDate,rating,previousRating,repetitionNumber,nTimesSeen,nTimesWrong,nTimesCorrect,nTimesBad,nTimesMedium,nTimesGood
105,en2cn,2021/04/21,2021/10/21,4.0,4.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0
98,en2cn,2021/04/21,2021/10/22,5.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
114,en2cn,2021/04/21,2021/10/21,3.0,4.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
121,cn2en,2021/04/21,2021/10/22,6.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
110,cn2en,2021/04/21,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
111,en2cn,2021/04/21,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
101,cn2en,2021/04/21,2021/10/20,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
110,en2cn,2021/04/21,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
124,cn2en,2021/04/21,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
118,en2cn,2021/04/21,2021/10/21,4.0,4.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0
108,cn2en,2021/04/21,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
113,en2cn,2021/04/21,2021/10/21,5.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
125,cn2en,2021/04/21,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
121,en2cn,2021/04/21,2021/10/17,3.0,6.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0
116,cn2en,2021/04/21,2021/04/21,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
123,en2cn,2021/04/21,2021/10/17,6.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
102,cn2en,2021/04/21,2021/10/22,4.0,1.0,1.0,6.0,4.0,2.0,5.0,1.0,0.0
