id,date,time,mode,rating
129,2021/04/22,16:26:36,en2cn,2
165,2021/04/22,16:26:49,en2cn,5
155,2021/04/22,16:26:57,en2cn,5
135,2021/04/22,16:27:04,en2cn,4
145,2021/04/22,16:27:12,cn2en,4
174,2021/04/22,16:27:16,cn2en,6
156,2021/04/22,16:27:22,en2cn,6
171,2021/04/22,16:27:42,en2cn,6
172,2021/04/22,16:27:52,en2cn,6
163,2021/04/22,16:28:00,en2cn,6
127,2021/04/22,16:28:04,cn2en,6
136,2021/04/22,16:28:21,en2cn,5
152,2021/04/22,16:28:26,cn2en,6
172,2021/04/22,16:28:29,cn2en,6
161,2021/04/22,16:28:33,en2cn,6
149,2021/04/22,16:29:22,cn2en,5
163,2021/04/22,16:29:25,cn2en,6
159,2021/04/22,16:29:30,en2cn,6
130,2021/04/22,16:29:34,cn2en,4
150,2021/04/22,16:29:58,cn2en,2
158,2021/04/22,16:30:02,cn2en,5
132,2021/04/22,16:30:04,cn2en,6
169,2021/04/22,16:30:07,cn2en,6
137,2021/04/22,16:30:18,cn2en,6
152,2021/04/22,16:30:23,en2cn,6
174,2021/04/22,16:30:24,en2cn,6
142,2021/04/22,16:30:27,cn2en,6
171,2021/04/22,16:30:29,cn2en,6
164,2021/04/22,16:30:33,cn2en,6
128,2021/04/22,16:30:38,en2cn,3
166,2021/04/22,16:30:48,en2cn,4
166,2021/04/22,16:30:56,cn2en,5
138,2021/04/22,16:30:58,en2cn,6
139,2021/04/22,16:31:01,en2cn,6
149,2021/04/22,16:31:05,en2cn,6
160,2021/04/22,16:31:09,cn2en,6
131,2021/04/22,16:31:37,cn2en,2
140,2021/04/22,16:31:57,en2cn,2
143,2021/04/22,16:32:00,cn2en,6
128,2021/04/22,16:32:02,cn2en,6
169,2021/04/22,16:32:06,en2cn,6
126,2021/04/22,16:32:11,en2cn,3
159,2021/04/22,16:32:15,cn2en,6
129,2021/04/22,16:32:26,cn2en,5
134,2021/04/22,16:32:28,cn2en,6
158,2021/04/22,16:32:32,en2cn,6
160,2021/04/22,16:32:47,en2cn,6
147,2021/04/22,16:32:53,en2cn,5
151,2021/04/22,16:32:57,cn2en,6
168,2021/04/22,16:33:06,cn2en,4
144,2021/04/22,16:33:08,cn2en,6
170,2021/04/22,16:33:12,cn2en,6
165,2021/04/22,16:33:17,cn2en,6
173,2021/04/22,16:33:22,cn2en,4
140,2021/04/22,16:33:27,cn2en,6
135,2021/04/22,16:33:31,cn2en,6
170,2021/04/22,16:33:35,en2cn,6
138,2021/04/22,16:33:39,cn2en,6
131,2021/04/22,16:33:51,en2cn,5
134,2021/04/22,16:34:05,en2cn,6
157,2021/04/22,16:34:16,en2cn,5
147,2021/04/22,16:34:19,cn2en,6
136,2021/04/22,16:34:22,cn2en,6
153,2021/04/22,16:34:27,en2cn,5
150,2021/04/22,16:34:30,en2cn,5
154,2021/04/22,16:34:35,en2cn,5
148,2021/04/22,16:34:57,cn2en,1
156,2021/04/22,16:34:59,cn2en,6
162,2021/04/22,16:35:03,en2cn,6
141,2021/04/22,16:35:07,cn2en,6
137,2021/04/22,16:35:14,en2cn,5
167,2021/04/22,16:35:18,en2cn,6
146,2021/04/22,16:35:27,cn2en,4
148,2021/04/22,16:35:35,en2cn,1
153,2021/04/22,16:35:37,cn2en,6
178,2021/06/19,12:44:12,en2cn,3
193,2021/06/19,12:44:21,en2cn,4
177,2021/06/19,12:44:29,cn2en,5
175,2021/06/19,12:44:33,cn2en,5
186,2021/06/19,12:44:40,cn2en,4
193,2021/06/19,12:46:47,cn2en,5
184,2021/06/19,12:46:59,en2cn,3
194,2021/06/19,12:47:07,cn2en,4
190,2021/06/19,12:47:13,en2cn,6
194,2021/06/19,12:47:18,en2cn,5
176,2021/06/19,12:47:21,cn2en,6
187,2021/06/19,12:47:32,en2cn,2
179,2021/06/19,12:47:38,en2cn,5
188,2021/06/19,12:47:44,en2cn,5
177,2021/06/19,12:47:49,en2cn,5
189,2021/06/19,12:47:55,en2cn,5
182,2021/06/19,12:48:06,cn2en,4
182,2021/06/19,12:48:10,en2cn,4
186,2021/06/19,12:48:13,en2cn,6
190,2021/06/19,12:48:18,cn2en,6
175,2021/06/19,12:48:21,en2cn,6
192,2021/06/19,12:48:37,cn2en,4
189,2021/06/19,12:48:39,cn2en,6
187,2021/06/19,12:49:32,cn2en,4
191,2021/06/19,12:49:37,cn2en,5
181,2021/06/19,12:49:45,en2cn,5
183,2021/06/19,12:50:17,en2cn,4
180,2021/06/19,12:50:20,cn2en,5
183,2021/06/19,12:50:23,cn2en,6
180,2021/06/19,12:50:26,en2cn,6
181,2021/06/19,12:50:29,cn2en,5
185,2021/06/19,12:50:33,en2cn,6
178,2021/06/19,12:50:39,cn2en,6
191,2021/06/19,12:50:41,en2cn,6
176,2021/06/19,12:50:44,en2cn,6
185,2021/06/19,12:50:46,cn2en,6
184,2021/06/19,12:50:51,cn2en,6
179,2021/06/19,12:50:54,cn2en,6
192,2021/06/19,12:50:59,en2cn,6
188,2021/06/19,12:51:02,cn2en,6
205,2021/06/19,13:06:37,en2cn,6
198,2021/06/19,13:06:42,en2cn,4
205,2021/06/19,13:06:46,cn2en,6
204,2021/06/19,13:06:50,en2cn,6
200,2021/06/19,13:06:52,en2cn,6
199,2021/06/19,13:07:02,cn2en,1
202,2021/06/19,13:07:06,cn2en,6
200,2021/06/19,13:07:11,cn2en,5
207,2021/06/19,13:07:14,cn2en,2
201,2021/06/19,13:07:20,en2cn,3
198,2021/06/19,13:07:23,cn2en,6
203,2021/06/19,13:07:25,cn2en,6
195,2021/06/19,13:07:27,cn2en,6
196,2021/06/19,13:07:34,cn2en,2
201,2021/06/19,13:07:39,cn2en,5
206,2021/06/19,13:07:53,cn2en,2
195,2021/06/19,13:07:55,en2cn,6
207,2021/06/19,13:08:00,en2cn,2
197,2021/06/19,13:08:04,en2cn,6
203,2021/06/19,13:08:06,en2cn,6
199,2021/06/19,13:08:17,en2cn,2
206,2021/06/19,13:08:23,en2cn,2
202,2021/06/19,13:08:44,en2cn,6
